"","Tank","Flow","Distance","n","Spike","Vel_X","Vel_Y","V_x_err","V_y_err","SNR1","SNR2","ASD1","ASD2","Temp"
"1","AMB_1","High",200,1,13,0.1366,0.0187,0.1144,0.0691,24.5,25.4,2.6,2.6,26.67
"2","AMB_1","High",200,2,8,0.1417,0.0027,0.1162,0.0629,24.1,23.6,3,3,26.76
"3","AMB_1","High",200,3,14,0.1559,0.0111,0.1209,0.0596,23.2,24.1,3,3,26.77
"4","AMB_1","Low",200,1,0,0.0224,0.0027,0.0253,0.0195,19.4,19.8,4.3,4.3,27.74
"5","AMB_1","Low",200,2,1,0.0225,0.0055,0.0232,0.0206,19.4,20.2,4.3,4.7,27.78
"6","AMB_1","Low",200,3,0,0.0148,0.0022,0.0204,0.0196,19.4,19.4,4.3,4.3,27.82
"7","AMB_2","High",200,1,1,0.1572,-0.0258,0.086,0.0423,19.8,21.5,3.4,3.4,27.02
"8","AMB_2","High",200,2,12,0.1396,-0.0561,0.0766,0.0563,18.5,20.2,3.4,3,26.91
"9","AMB_2","High",200,3,14,0.1744,-0.017,0.1366,0.056,18.9,19.8,3.4,3,26.77
"10","HT_1","High",200,1,6,0.1611,-0.006,0.1045,0.051,30.5,31.4,3.4,3,27.26
"11","HT_1","High",200,2,5,0.1599,0.0398,0.11,0.0678,29.2,29.7,3,3,27.39
"12","HT_1","High",200,3,3,0.1843,0.0096,0.1443,0.0562,29.2,29.7,3,3,27.46
"13","HT_2","High",200,1,28,0.1496,-0.0071,0.1195,0.061,21.9,22.4,3,3,27.62
"14","HT_2","High",200,2,21,0.1296,-0.0115,0.1153,0.0596,21.9,22.4,3.4,3,27.6
"15","HT_2","High",200,3,22,0.1477,-0.0031,0.1282,0.0567,21.1,21.9,3.4,3,27.59
"16","HT_1","Low",200,1,3,0.0233,0.003,0.013,0.0115,21.9,23.6,5.2,5.2,27.84
"17","HT_1","Low",200,2,2,0.0257,0.0064,0.0153,0.0143,23.6,24.5,4.7,4.7,27.86
"18","HT_1","Low",200,3,1,0.0276,0.0086,0.0155,0.0142,24.5,24.9,5.2,4.7,27.88
"19","AMB_2","Low",200,1,0,0.0212,0.0054,0.0183,0.0156,20.6,21.9,4.7,4.7,27.53
"20","AMB_2","Low",200,2,0,0.0273,-3e-04,0.0186,0.0135,21.9,22.4,5.2,4.7,27.55
"21","AMB_2","Low",200,3,4,0.0303,7e-04,0.0176,0.0123,22.8,23.6,5.6,5.6,27.54
"22","HT_2","Low",200,1,0,0.0212,-8e-04,0.027,0.0212,21.9,24.1,3,3.4,26.64
"23","HT_2","Low",200,2,1,0.0147,-5e-04,0.0239,0.0208,21.9,22.4,3.9,3.4,26.72
"24","HT_2","Low",200,3,0,0.017,-0.0017,0.0225,0.0211,21.9,21.9,3.9,3.9,26.82
